feature,category
XP_023132743.2,osmoregulation
XP_023143644.3,osmoregulation
XP_023143645.2,osmoregulation
XP_023145048.1,osmoregulation
XP_023146836.1,osmoregulation
XP_023146839.1,osmoregulation
XP_035810241.1,osmoregulation
XP_023139180.1,osmoregulation
XP_023140977.1,osmoregulation
XP_023117619.1,osmoregulation
XP_023116860.1,osmoregulation
XP_023133574.1,osmoregulation
XP_035806378.2,osmoregulation
XP_023130981.2,osmoregulation
XP_023121556.1,osmoregulation
XP_023135081.2,osmoregulation
XP_054870439.1,osmoregulation
XP_023117914.1,osmoregulation
XP_023131822.1,osmoregulation
XP_023131823.1,osmoregulation
XP_023147196.1,osmoregulation
XP_023125415.1,osmoregulation
XP_054863607.1,osmoregulation
XP_054863608.1,osmoregulation
XP_035810437.1,osmoregulation
XP_023139806.1,osmoregulation
XP_023128435.1,osmoregulation
XP_023137828.1,osmoregulation
XP_023137829.1,osmoregulation
XP_023120968.1,osmoregulation
XP_023120969.1,osmoregulation
XP_023129407.2,osmoregulation
XP_023129408.2,osmoregulation
XP_023136955.1,osmoregulation
XP_023152356.1,osmoregulation
XP_023152800.1,osmoregulation
XP_023147859.2,osmoregulation
XP_023127255.1,osmoregulation
XP_023118768.1,osmoregulation
XP_023139962.2,osmoregulation
XP_054865286.1,osmoregulation
XP_035811171.1,osmoregulation
XP_035811172.1,osmoregulation
XP_054868015.1,osmoregulation
XP_035803395.1,osmoregulation
XP_023138517.1,osmoregulation
XP_023138519.1,osmoregulation
XP_023153795.2,osmoregulation
XP_054869619.1,osmoregulation
XP_023125450.1,osmoregulation
XP_023136701.2,osmoregulation
XP_023136702.2,osmoregulation
XP_054875288.1,osmoregulation
XP_023120919.1,osmoregulation
XP_035801798.1,osmoregulation
XP_054873147.1,osmoregulation
XP_054873148.1,osmoregulation
XP_023118011.2,osmoregulation
XP_023120635.2,osmoregulation
XP_023148869.2,osmoregulation
XP_023153569.2,osmoregulation
XP_023147259.2,osmoregulation
XP_023143026.1,osmoregulation
XP_023153788.1,osmoregulation
XP_054867410.1,osmoregulation
XP_035812167.2,osmoregulation
XP_023121761.1,osmoregulation
XP_023128841.1,osmoregulation
XP_023128842.1,osmoregulation
XP_054865418.1,osmoregulation
XP_023130793.2,osmoregulation
XP_023127008.1,osmoregulation
XP_035799387.1,osmoregulation
XP_054860903.1,osmoregulation
XP_023141857.2,osmoregulation
XP_054867162.1,osmoregulation
XP_054867163.1,osmoregulation
XP_054869244.1,osmoregulation
XP_023125189.1,osmoregulation
XP_023152152.2,osmoregulation
XP_035797984.2,osmoregulation
XP_023144131.2,osmoregulation
XP_023117593.2,osmoregulation
XP_023150807.1,osmoregulation
XP_023132774.2,osmoregulation
XP_023143307.1,osmoregulation
XP_054872940.1,osmoregulation
XP_023133255.1,osmoregulation
XP_023149688.2,osmoregulation
XP_023151115.1,osmoregulation
XP_023131193.1,osmoregulation
XP_023118679.1,osmoregulation
XP_023155559.1,osmoregulation
XP_023128202.1,osmoregulation
XP_023128203.1,osmoregulation
XP_023127935.1,osmoregulation
XP_023148756.1,osmoregulation
