gene,category
ENSDARG00000038845,lactic
ENSDARG00000071076,lactic
ENSDARG00000015918,glycolysis
ENSDARG00000051756,glycolysis
ENSDARG00000059054,glycolysis
ENSDARG00000059054,glycolysis
ENSDARG00000021346,glycolysis
ENSDARG00000116841,glycolysis
ENSDARG00000012387,glycolysis
ENSDARG00000010555,glycolysis
ENSDARG00000114832,glycolysis
ENSDARG00000013128,glycolysis
ENSDARG00000013128,glycolysis
ENSDARG00000014527,glycolysis
ENSDARG00000054848,glycolysis
ENSDARG00000115777,krebs
ENSDARG00000115585,krebs
ENSDARG00000044914,krebs
ENSDARG00000103364,krebs
ENSDARG00000111879,krebs
ENSDARG00000007294,krebs
ENSDARG00000103849,krebs
ENSDARG00000113407,krebs
ENSDARG00000014230,krebs
ENSDARG00000003795,krebs
ENSDARG00000016721,krebs
ENSDARG00000030278,krebs
ENSDARG00000075132,krebs
ENSDARG00000008785,krebs
ENSDARG00000017772,krebs
ENSDARG00000005359,krebs
ENSDARG00000043371,krebs
ENSDARG00000044753,krebs
ENSDARG00000110992,krebs
ENSDARG00000052712,krebs
ENSDARG00000114672,krebs
ENSDARG00000110542,krebs
ENSDARG00000038608,krebs
ENSDARG00000030139,krebs
ENSDARG00000036092,krebs
ENSDARG00000023648,krebs
ENSDARG00000079249,krebs
ENSDARG00000075768,krebs
ENSDARG00000039390,krebs
ENSDARG00000034270,krebs
ENSDARG00000026376,krebs
ENSDARG00000114840,krebs
ENSDARG00000062971,krebs
ENSDARG00000018008,krebs
ENSDARG00000103428,krebs
ENSDARG00000112650,krebs
ENSDARG00000117104,krebs
ENSDARG00000025375,krebs
NA,krebs
NA,krebs
NA,krebs
NA,krebs
NA,krebs
ENSDARG00000013144,osmoregulation
ENSDARG00000099203,osmoregulation
ENSDARG00000076833,osmoregulation
ENSDARG00000115733,osmoregulation
ENSDARG00000111818,osmoregulation
ENSDARG00000010472,osmoregulation
ENSDARG00000018259,osmoregulation
ENSDARG00000104139,osmoregulation
ENSDARG00000002791,osmoregulation
